Código,Disciplinas,PRQ
CM302 ,Cálculo em várias variáveis reais ,CM301
CQ223 ,Química Inorgânica III ,CQ221
CQ243 ,Físico-Química IV ,CM300 + CQ238
CQ240 ,Físico-Química II ,CQ238 + CM301
CQ224 ,Química Inorgânica IV ,CQ221
CQ241 ,Físico-Química III ,CQ240 ou CQ302
CQ242 ,Físico-Química Experimental III ,CQ241
CQ225 ,Química Inorgânica V  ,CQ223
GC154 ,Geologia e Mineralogia ,-
CQ234 ,Química Orgânica IV  ,CQ233
CQ245 ,Físico-Química V ,CQ238
CQ297 ,Operações Unitárias I  ,-
CQ246 ,Química Quântica ,CQ240 + CM303
CQ298 ,Operações Unitárias II ,-
CQ219 ,Cromatografia,CQ217 + CQ231
CQ247 ,Espectroscopia Óptica,CQ246
CQ300 ,Estágio Supervisionado Obrigatório,-
